car_park_no,address,x_coord,y_coord,night_parking
BRM1,BLK 112A WHAMPOA ROAD,30605.3384,34301.5549,YES
BRM2,BLK 32A JALAN BAHAGIA,30711.6128,34245.0049,YES
BRM3,BLK 98A WHAMPOA DRIVE,30374.6768,33753.3566,YES
BRM4,BLK 85A WHAMPOA DRIVE,30532.4552,33886.3275,YES
BRM5,BLK 19A JALAN TENTERAM,30912.1514,34418.5838,YES
BRM6,BLK 116 JALAN TENTERAM,31102.1822,34445.0449,YES
BRM7,BLK 78A LORONG LIMAU,30457.6666,34068.0647,YES
BR10,BLK 90 WHAMPOA DRIVE,30357.7598,33918.1953,YES
BR11,BLKS 27-30 & 32-33 JALAN BAHAGIA,30854.1176,34276.8274,YES
BR12,BLKS 34/35 JALAN BAHAGIA,30715.4375,34382.2305,YES
BR14,BLK 20 JALAN TENTERAM,30967.5336,34242.9719,YES
BR18,BLK 111A ST MICHAEL BUS TERMINAL,30496.3613,34277.707,YES
BR21,BLK 41/47 JALAN BAHAGIA,30595.5166,34387.1259,NO
BR22,BLK 61/62 JALAN MA'MOR,30701.4824,34507.3281,NO
BR4,BLK 81/89 WHAMPOA DRIVE,30459.8203,33979.9766,YES
BR5,BLK 74/75 WHAMPOA DRIVE,30768.0099,34127.2333,YES
BR6,BLK 92 WHAMPOA DRIVE,30249.9707,33920.4375,YES
BR8,BLK 76/77 LORONG LIMAU,30363.7715,34154.9883,YES
BR9,BLK 69 MOULMEIN ROAD,29939.1769,33469.7037,YES
BTM,BLK 2B BOON TIONG ROAD,27996.7913,29911.548,YES
BTM2,BLK 8C BOON TIONG RD,27590.7177,29931.3587,YES
BTM3,BLK 11A BOON TIONG ROAD,27485.7966,29859.2793,YES
BVM2,BLK 129A BUKIT MERAH VIEW,26893.4354,29547.635,YES
BWM,BLK 2A JLN BUKIT MERAH,25037.7298,29927.4975,YES
B10,BLK 404/413 BEDOK NORTH AVENUE 3,39172.2903,34582.9441,YES
B10M,BLK 431 BEDOK NORTH ROAD,39040.5507,34603.0432,YES
B11,BLK 416/418 BEDOK NORTH AVENUE 2,38803.7496,34507.0389,YES
B12,BLK 420/421 BEDOK NORTH STREET 1,38523.5625,34424.8004,YES
B13,BLK 414/425 BEDOK NORTH ROAD,38733.3633,34652.0234,YES
B14,BLK 412/413 BEDOK NORTH AVENUE 2,38920.4797,34597.393,YES
B16,BLK 32/63 BEDOK SOUTH AVENUE 2,39934.8473,33971.8042,YES
B17,BLK 52/57 NEW UPPER CHANGI ROAD,40079.2617,34051.0508,YES
B19,BLK 37/38/43/60 BEDOK SOUTH ROAD,39979.5352,33797.4766,YES
B20,BLK 67/73 BEDOK SOUTH ROAD,40253.2539,33562.5352,YES
B21,BLK 74/82 BEDOK NORTH ROAD,39989.0226,34488.949,YES
B23M,BLK 187 BEDOK NORTH ST 4,39944.1477,34766.4678,YES
